"","Space","Rooms","Price","Height","CurrentFloor","TotalFloors","BuildingType","Condition","Baths","Region"
"50",42,2,42000,3.2,1,4,"Monolit","Good","1","Shengavit"
"51",54,2,65000,3,1,5,"Monolit","Good","1","Arabkir"
"52",37,1,46000,3,14,14,"Monolit","Good","1","Center"
"53",68,3,55000,3,4,4,"Monolit","Good","1","Shengavit"
"54",69,2,73000,3,11,12,"Monolit","Good","1","Arabkir"
"55",77,3,72000,3,9,9,"Monolit","Good","1","Arabkir"
"56",68,2,73000,2.8,7,12,"Monolit","Good","1","Center"
"57",47,2,50000,3,6,15,"Monolit","Good","1","Malatia-Sebastia"
"58",57,2,63000,3,13,14,"Monolit","Good","1","Avan"
"59",52,2,75000,3,1,3,"Monolit","Good","1","Center"
"60",93,4,68000,2.8,2,9,"Monolit","Good","1","Achapnyak"
"61",80,4,63000,2.8,2,14,"Monolit","Good","1","Achapnyak"
"62",89,4,62000,2.8,7,9,"Monolit","Good","1","Malatia-Sebastia"
"63",52,1,54000,2.8,3,15,"Monolit","Good","1","Arabkir"
"64",45,2,83000,3,3,10,"Monolit","Good","1","Center"
"65",56,2,85000,3,10,15,"Monolit","Good","1","Arabkir"
"66",55,2,63000,3,3,9,"Monolit","Good","1","Arabkir"
"67",65,2,45500,2.8,8,9,"Monolit","Good","1","Malatia-Sebastia"
"68",107,3,96000,3,10,11,"Monolit","Good","1","Davtashen"
"69",75,3,70000,2.8,3,9,"Monolit","Good","1","Erebuni"
"70",64,2,52000,2.8,8,9,"Monolit","Good","1","Qanaqer-Zeytun"
"71",72,3,70000,3,3,4,"Monolit","Good","1","Shengavit"
"72",165,4,105000,3,11,15,"Monolit","Good","1","Davtashen"
"73",60,3,73000,2.8,5,5,"Monolit","Good","1","Erebuni"
"74",68,2,49000,2.8,6,9,"Monolit","Good","1","Erebuni"
"75",78,3,60000,3,4,5,"Monolit","Good","1","Erebuni"
"76",85,3,68000,3,2,14,"Monolit","Good","1","Erebuni"
"77",110,4,57000,2.8,9,9,"Monolit","Good","1","Davtashen"
"78",64,2,70000,3,2,5,"Monolit","Good","1","Center"
"79",67,3,56000,2.8,1,9,"Monolit","Good","1","Erebuni"
"80",135,3,320000,3,13,23,"Monolit","Good","2","Center"
"81",65,2,60000,2.8,5,9,"Monolit","Good","1","Arabkir"
"82",57,2,52000,2.8,4,4,"Monolit","Good","1","Qanaqer-Zeytun"
"83",60,2,59000,2.8,5,5,"Monolit","Good","1","Arabkir"
"84",80,4,67000,2.8,5,5,"Monolit","Good","2","Center"
"85",63,2,73000,2.8,2,9,"Monolit","Good","1","Center"
"86",60,3,63000,3,1,5,"Monolit","Good","1","Center"
"87",60,3,60000,3,1,5,"Monolit","Good","1","Center"
"88",80,3,93000,2.8,3,10,"Monolit","Good","1","Center"
"89",80,3,81000,2.8,9,9,"Monolit","Good","1","Center"
"90",69,3,66000,3,8,16,"Monolit","Good","1","Davtashen"
"91",98,3,67000,2.8,3,9,"Monolit","Good","1","Davtashen"
"92",72,2,80000,3,4,10,"Monolit","Good","1","Arabkir"
"93",90,4,81000,2.8,8,9,"Monolit","Good","1","Davtashen"
"94",94,3,96000,2.8,5,16,"Monolit","Good","1","Center"
"95",100,3,80000,3,8,11,"Monolit","Good","1","Davtashen"
"96",60,2,93000,2.8,3,9,"Monolit","Good","1","Center"
"97",92,3,80000,3,3,9,"Monolit","Good","1","Davtashen"
"98",100,4,87000,3,9,9,"Monolit","Good","1","Center"
"99",68,2,80000,3,5,9,"Monolit","Good","1","Davtashen"
"100",117,3,135000,2.8,7,15,"Monolit","Good","2","Davtashen"
"101",108,4,85000,3.2,13,16,"Monolit","Good","1","Davtashen"
"102",90,3,82000,2.8,8,9,"Monolit","Good","1","Achapnyak"
"103",79,3,75000,2.8,4,10,"Monolit","Good","1","Center"
"104",56,3,77000,2.8,5,5,"Monolit","Good","1","Center"
"105",60,3,54000,2.8,5,5,"Monolit","Good","1","Center"
"106",69,3,55000,2.8,14,16,"Monolit","Good","1","Center"
"107",80,3,78000,3,7,9,"Monolit","Good","1","Nor Norq"
"108",50,2,77000,2.8,1,11,"Monolit","Good","1","Center"
"109",60,3,60000,2.8,4,5,"Monolit","Good","1","Center"
"110",40,2,37000,2.8,3,4,"Monolit","Good","1","Avan"
"111",82,3,78000,3,5,16,"Monolit","Good","1","Center"
"112",100,4,60000,3,2,5,"Monolit","Good","1","Achapnyak"
"113",80,3,64000,2.8,1,5,"Monolit","Good","1","Nor Norq"
"114",52,2,52000,2.8,2,10,"Monolit","Good","1","Avan"
"115",80,3,47000,2.8,10,16,"Monolit","Good","1","Nor Norq"
"116",80,2,75000,2.8,3,6,"Monolit","Good","1","Nor Norq"
"117",60,3,75000,2.8,5,5,"Monolit","Good","1","Center"
"118",80,3,68000,2.8,5,9,"Monolit","Good","1","Davtashen"
"119",70,2,82000,2.8,6,9,"Monolit","Good","2","Arabkir"
"120",91,3,153000,2.8,3,5,"Monolit","Good","1","Center"
"121",200,5,380000,3.2,4,4,"Monolit","Good","3","Center"
"122",102,3,120000,3,1,14,"Monolit","Good","2","Avan"
"123",64,2,35000,2.8,1,5,"Monolit","Good","1","Erebuni"
"124",33,1,36000,3,4,4,"Monolit","Good","1","Arabkir"
"125",52,2,42000,3.2,2,14,"Monolit","Good","1","Achapnyak"
"126",63,2,45000,3,5,16,"Monolit","Good","1","Achapnyak"
"127",64,2,41000,2.8,12,16,"Monolit","Good","1","Achapnyak"
"128",63,2,43000,2.8,5,16,"Monolit","Good","1","Achapnyak"
"129",85,3,79000,3,2,5,"Monolit","Good","1","Qanaqer-Zeytun"
"130",85,2,82000,3.2,4,6,"Monolit","Good","1","Arabkir"
"131",185,4,150000,2.8,16,16,"Monolit","Good","1","Arabkir"
"132",120,4,150000,2.8,2,16,"Monolit","Good","1","Center"
"133",78,3,95000,3,9,15,"Monolit","Good","2","Davtashen"
"134",92,3,90000,2.8,2,9,"Monolit","Good","1","Avan"
"135",118,4,67000,2.8,5,5,"Monolit","Good","1","Arabkir"
"136",35,1,62000,3,4,6,"Monolit","Good","1","Center"
"137",84,2,130000,3,12,21,"Monolit","Good","2","Arabkir"
"138",48,2,1e+05,2.8,2,13,"Monolit","Good","1","Center"
"139",68,3,98000,3,12,15,"Monolit","Good","1","Arabkir"
"140",69,3,77000,3,3,8,"Monolit","Good","1","Arabkir"
"141",90,3,1e+05,3.2,4,5,"Monolit","Good","1","Arabkir"
"142",40,1,50000,2.8,5,9,"Monolit","Good","1","Center"
"143",120,4,133000,3,8,16,"Monolit","Good","2","Nor Norq"
"144",57,3,75000,2.8,4,5,"Monolit","Good","1","Arabkir"
"145",80,3,204000,3.2,2,4,"Monolit","Good","1","Center"
"146",83,3,82000,2.8,2,5,"Monolit","Good","1","Arabkir"
"147",110,4,230000,3,3,7,"Monolit","Good","1","Center"
"148",92,3,215000,3,6,7,"Monolit","Good","1","Center"
"149",70,2,88000,3,13,19,"Monolit","Good","1","Arabkir"
"150",70,3,110000,3,4,9,"Monolit","Good","2","Center"
"151",106,4,85000,2.8,5,5,"Monolit","Good","1","Arabkir"
"152",107,4,60000,2.8,14,16,"Monolit","Good","1","Achapnyak"
"153",80,4,72000,2.8,5,5,"Monolit","Good","1","Arabkir"
"154",94,4,82000,2.8,4,12,"Monolit","Good","1","Arabkir"
"155",143,4,80000,2.8,2,18,"Monolit","Good","1","Nor Norq"
"156",97,4,85000,2.8,5,5,"Monolit","Good","1","Arabkir"
"157",78,3,1e+05,2.8,4,6,"Monolit","Good","1","Arabkir"
"158",180,5,350000,3.2,2,4,"Monolit","Good","1","Center"
"159",43,2,56000,2.8,2,9,"Monolit","Good","1","Arabkir"
"160",86,3,78000,2.8,4,5,"Monolit","Good","1","Arabkir"
"161",92,3,110000,2.8,4,5,"Monolit","Good","1","Arabkir"
"162",83,3,92000,3,3,9,"Monolit","Good","1","Arabkir"
"163",103,3,105000,3,13,14,"Monolit","Good","2","Avan"
"164",72,4,88000,2.8,8,9,"Monolit","Good","1","Center"
"165",76,3,57000,2.8,4,9,"Monolit","Good","1","Davtashen"
"166",145,4,360000,3,7,15,"Monolit","Good","2","Center"
"167",133,4,310000,3,11,17,"Monolit","Good","3","Center"
"168",92,3,85000,2.8,7,9,"Monolit","Good","1","Avan"
"169",52,2,73000,3,9,14,"Monolit","Good","1","Center"
"170",58,2,58000,2.8,2,3,"Monolit","Good","1","Center"
"171",100,3,118000,2.8,2,5,"Monolit","Good","1","Arabkir"
"172",58,2,60000,2.8,4,5,"Monolit","Good","1","Center"
"173",158,4,180000,3,13,13,"Monolit","Good","2","Center"
"174",62,2,67000,2.8,6,9,"Monolit","Good","1","Center"
"175",32,1,80000,2.8,4,5,"Monolit","Good","1","Center"
"176",75,2,66000,2.8,9,12,"Monolit","Good","1","Arabkir"
"177",79,3,52000,2.8,1,16,"Monolit","Good","1","Avan"
"178",107,3,175000,3,6,16,"Monolit","Good","1","Center"
"179",82,3,67000,3,5,5,"Monolit","Good","1","Arabkir"
"180",55,2,60000,3,5,5,"Monolit","Good","1","Arabkir"
"181",132,4,195000,3,6,10,"Monolit","Good","1","Arabkir"
"182",78,2,107000,2.8,12,12,"Monolit","Good","1","Center"
"183",78,2,220000,2.8,14,17,"Monolit","Good","1","Center"
"184",100,3,165000,3,5,10,"Monolit","Good","1","Center"
"185",80,4,68000,2.6,5,5,"Monolit","Good","2","Center"
"186",97,3,103000,3,7,8,"Monolit","Good","1","Arabkir"
"187",70,3,72000,2.8,4,6,"Monolit","Good","2","Arabkir"
"188",97,3,99000,3.8,3,4,"Monolit","Good","1","Arabkir"
"189",84,3,85000,2.8,2,6,"Monolit","Good","1","Arabkir"
"190",78,3,63000,3.2,3,9,"Monolit","Good","1","Davtashen"
"191",42,1,72500,2.8,2,9,"Monolit","Good","1","Center"
"192",112,3,115000,3,9,14,"Monolit","Good","2","Center"
"193",54,3,67000,2.8,6,7,"Monolit","Good","1","Arabkir"
"194",98,4,86000,3.2,7,9,"Monolit","Good","1","Arabkir"
"195",120,4,3e+05,3,4,12,"Monolit","Good","2","Center"
"196",54,2,125000,3,3,9,"Monolit","Good","1","Center"
"197",114,3,2e+05,3.2,2,5,"Monolit","Good","1","Center"
"198",105,3,350000,3,8,10,"Monolit","Good","2","Center"
"199",35,1,60000,3,4,6,"Monolit","Good","1","Erebuni"
"200",43,2,70000,3.2,3,4,"Monolit","Good","1","Arabkir"
"201",83,2,155000,3,11,14,"Monolit","Good","1","Center"
"202",85,3,54000,3,6,12,"Monolit","Good","1","Achapnyak"
"203",44,1,50000,2.8,2,6,"Monolit","Good","1","Arabkir"
"204",93,3,103000,2.8,5,16,"Monolit","Good","1","Center"
"205",51,2,73000,2.8,5,13,"Monolit","Good","1","Center"
"206",90,3,54000,2.8,11,12,"Monolit","Good","1","Center"
"207",67,2,72000,2.8,2,5,"Monolit","Good","1","Center"
"208",115,3,170000,3,1,4,"Monolit","Good","1","Center"
"209",62,2,2e+05,2.8,4,5,"Monolit","Good","1","Center"
"210",85,3,153000,3,3,6,"Monolit","Good","1","Center"
"211",38,2,59000,3.2,4,5,"Monolit","Good","1","Arabkir"
"212",64,2,85000,2.8,8,11,"Monolit","Good","1","Center"
"213",72,2,76000,2.8,11,11,"Monolit","Good","1","Center"
"214",65,2,95000,2.8,8,9,"Monolit","Good","1","Center"
"215",180,3,380000,3,4,10,"Monolit","Good","1","Center"
"216",100,3,175000,2.8,2,9,"Monolit","Good","1","Center"
"217",110,3,275000,2.8,5,18,"Monolit","Good","1","Center"
"218",55,2,67000,2.6,3,5,"Monolit","Good","1","Arabkir"
"219",276,6,1020000,2.8,6,9,"Monolit","Good","1","Center"
"220",60,2,92000,2.8,1,5,"Monolit","Good","1","Center"
"221",84,3,78000,3,8,10,"Monolit","Good","1","Davtashen"
"222",73,3,76500,2.8,3,9,"Monolit","Good","1","Davtashen"
"223",96,3,75000,2.8,8,19,"Monolit","Good","1","Davtashen"
"224",80,3,75000,2.8,5,9,"Monolit","Good","1","Davtashen"
"225",107,3,107000,3,10,11,"Monolit","Good","1","Davtashen"
"226",153,4,310000,3,11,17,"Monolit","Good","2","Davtashen"
"227",140,3,165000,3,14,16,"Monolit","Good","2","Davtashen"
"228",165,4,105000,3,11,15,"Monolit","Good","2","Davtashen"
"229",70,3,130000,2.8,1,9,"Monolit","Good","1","Davtashen"
"230",107,3,107000,3.2,10,11,"Monolit","Good","1","Davtashen"
"231",120,4,130000,2.8,16,16,"Monolit","Good","2","Davtashen"
"232",80,3,91000,3.2,5,9,"Monolit","Good","1","Davtashen"
"233",105,4,97000,3,11,16,"Monolit","Good","2","Davtashen"
"234",141,3,168000,2.8,5,16,"Monolit","Good","2","Davtashen"
"235",97,3,95000,3.2,4,9,"Monolit","Good","1","Davtashen"
"236",140,3,160000,3,14,15,"Monolit","Good","1","Davtashen"
"237",101,3,107000,3,10,11,"Monolit","Good","2","Davtashen"
"238",96,4,110000,2.8,5,9,"Monolit","Good","1","Davtashen"
"239",96,3,78000,2.8,3,9,"Monolit","Good","2","Davtashen"
"240",110,4,70000,2.8,8,12,"Monolit","Good","2","Davtashen"
"241",97,3,72000,2.8,8,9,"Monolit","Good","1","Davtashen"
"242",85,4,75000,3,9,11,"Monolit","Good","2","Davtashen"
"243",96,3,78000,3.2,2,9,"Monolit","Good","1","Davtashen"
"244",100,3,70000,3,7,9,"Monolit","Good","1","Davtashen"
"245",96,3,74000,2.8,15,16,"Monolit","Good","1","Davtashen"
"246",68,3,70000,3,7,11,"Monolit","Good","1","Davtashen"
"247",96,3,75000,3,3,9,"Monolit","Good","2","Davtashen"
"248",74,3,73000,2.8,7,9,"Monolit","Good","1","Davtashen"
"249",96,3,72000,2.8,8,9,"Monolit","Good","1","Davtashen"
"250",85,4,75000,2.8,8,12,"Monolit","Good","1","Davtashen"
"251",76,3,73000,2.8,3,9,"Monolit","Good","1","Davtashen"
"252",98,3,76000,2.8,1,9,"Monolit","Good","1","Davtashen"
"253",72,3,74000,2.8,3,9,"Monolit","Good","1","Davtashen"
"254",104,4,71500,2.8,6,14,"Monolit","Good","1","Davtashen"
"255",97,3,92000,3,5,9,"Monolit","Good","1","Davtashen"
"256",108,3,74000,2.8,1,9,"Monolit","Good","1","Davtashen"
"257",97,3,77000,2.8,6,9,"Monolit","Good","1","Davtashen"
"258",79,3,92000,2.8,7,9,"Monolit","Good","1","Davtashen"
"259",101,3,109000,3,6,11,"Monolit","Good","1","Davtashen"
"260",143,4,3e+05,3,11,19,"Monolit","Good","3","Davtashen"
"261",94,4,77000,2.8,6,9,"Monolit","Good","1","Davtashen"
"262",150,4,79000,2.8,1,9,"Monolit","Good","1","Davtashen"
"263",85,3,75000,3,8,11,"Monolit","Good","2","Davtashen"
"264",150,4,77000,3,1,9,"Monolit","Good","1","Davtashen"
"265",85,4,75000,3.2,8,11,"Monolit","Good","1","Davtashen"
"266",108,4,78000,2.8,6,10,"Monolit","Good","1","Davtashen"
"267",100,4,70000,3,3,7,"Monolit","Good","1","Davtashen"
"268",150,4,79000,3,1,9,"Monolit","Good","1","Davtashen"
"269",83,3,78000,3,8,11,"Monolit","Good","1","Davtashen"
"270",90,4,74000,3,1,9,"Monolit","Good","1","Davtashen"
"271",68,2,77000,2.8,5,9,"Monolit","Good","1","Davtashen"
"272",140,3,72000,2.8,1,6,"Monolit","Good","1","Davtashen"
"273",73,2,108000,3,2,4,"Monolit","Good","1","Center"
"274",40,1,75000,2.8,4,11,"Monolit","Good","1","Center"
"275",79,3,81000,3,4,5,"Monolit","Good","1","Arabkir"
"276",75,3,81000,2.8,3,5,"Monolit","Good","1","Arabkir"
"277",140,3,190000,3,10,11,"Monolit","Good","1","Arabkir"
"278",75,4,80000,2.8,4,4,"Monolit","Good","1","Arabkir"
"279",76,3,1e+05,2.8,5,5,"Monolit","Good","1","Arabkir"
"280",158,6,160000,3,9,10,"Monolit","Good","2","Arabkir"
"281",133,4,250000,3,4,14,"Monolit","Good","2","Arabkir"
"282",112,4,92000,2.8,3,5,"Monolit","Good","1","Arabkir"
"283",120,4,180000,3,4,12,"Monolit","Good","2","Arabkir"
"284",98,4,135000,3,3,3,"Monolit","Good","1","Arabkir"
"285",139,4,150000,3,6,9,"Monolit","Good","2","Arabkir"
"286",150,3,105000,2.8,1,7,"Monolit","Good","1","Arabkir"
"287",207,5,150000,2.8,5,5,"Monolit","Good","1","Arabkir"
"288",160,4,120000,3.2,3,3,"Monolit","Good","1","Center"
"289",60,2,2e+05,3,4,5,"Monolit","Good","1","Center"
"290",100,4,170000,3.2,4,5,"Monolit","Good","1","Center"
"291",71,3,110000,2.8,3,5,"Monolit","Good","1","Center"
"292",230,4,220000,2.8,5,5,"Monolit","Good","2","Center"
"293",79,3,165000,3,5,10,"Monolit","Good","1","Center"
"294",90,3,135000,3,8,9,"Monolit","Good","1","Center"
"295",180,4,275000,3,3,9,"Monolit","Good","2","Center"
"296",90,3,107100,2.8,3,9,"Monolit","Good","1","Center"
"297",120,4,155000,3,8,14,"Monolit","Good","2","Center"
"298",105,4,270000,3.2,2,4,"Monolit","Good","2","Center"
"299",100,3,127000,3,5,9,"Monolit","Good","1","Center"
"300",70,2,152000,2.8,4,6,"Monolit","Good","1","Center"
"301",80,3,170000,2.8,5,6,"Monolit","Good","1","Center"
"302",110,4,198000,3,5,18,"Monolit","Good","1","Center"
"303",61,2,82000,3,5,5,"Monolit","Good","1","Center"
"304",92,3,87000,2.8,12,16,"Monolit","Good","1","Center"
"305",74,2,82000,2.8,14,16,"Monolit","Good","1","Center"
"306",80,3,120000,3,2,5,"Monolit","Good","1","Center"
"307",158,4,190000,3.2,4,4,"Monolit","Good","2","Center"
"308",52,2,110000,2.8,7,12,"Monolit","Good","1","Center"
"309",110,4,93000,3,12,16,"Monolit","Good","2","Center"
"310",86,3,150000,3.2,4,5,"Monolit","Good","1","Center"
"311",120,4,225000,2.8,8,10,"Monolit","Good","2","Center"
"312",80,3,160000,3.2,2,5,"Monolit","Good","1","Center"
"313",112,4,160000,3,4,5,"Monolit","Good","1","Center"
"314",93,3,119000,2.8,11,12,"Monolit","Good","1","Center"
"315",105,3,255000,3,2,4,"Monolit","Good","2","Center"
"316",85,3,140000,3.2,2,5,"Monolit","Good","1","Center"
"317",120,3,3e+05,2.8,7,8,"Monolit","Good","2","Center"
"318",94,3,120000,2.8,11,16,"Monolit","Good","1","Center"
"319",77,4,105000,2.8,10,12,"Monolit","Good","1","Center"
"320",90,3,105000,3,9,10,"Monolit","Good","1","Center"
"321",73,3,97000,3,4,4,"Monolit","Good","1","Center"
"322",106,3,115000,3,14,14,"Monolit","Good","2","Center"
"323",78,3,96000,3.2,5,5,"Monolit","Good","1","Arabkir"
"324",71,3,92000,2.6,4,6,"Monolit","Good","1","Arabkir"
"325",170,6,150000,3,5,5,"Monolit","Good","1","Center"
"326",108,3,350000,3.2,2,5,"Monolit","Good","1","Center"
"327",78,3,125000,3,5,9,"Monolit","Good","2","Center"
"328",92,3,90000,2.8,2,9,"Monolit","Good","1","Arabkir"
"329",60,2,2e+05,3.2,3,5,"Monolit","Good","1","Center"
"330",65,2,135000,2.8,2,5,"Monolit","Good","1","Center"
"331",125,4,164000,3,4,16,"Monolit","Good","2","Arabkir"
"332",95,3,210000,3,15,15,"Monolit","Good","1","Center"
"333",220,4,440000,3,4,15,"Monolit","Good","3","Center"
"334",67,2,170000,3.2,2,5,"Monolit","Good","2","Center"
"335",98,3,120000,3,2,5,"Monolit","Good","1","Arabkir"
"336",47,2,105000,2.8,2,10,"Monolit","Good","1","Center"
"337",70,3,95000,3,6,16,"Monolit","Good","1","Center"
"338",50,1,1e+05,3,6,9,"Monolit","Good","1","Center"
"339",85,3,133000,3,10,10,"Monolit","Good","2","Center"
"340",75,2,2e+05,3,10,10,"Monolit","Good","2","Center"
"341",64,2,130000,2.8,2,7,"Monolit","Good","1","Center"
"342",47,1,150000,3.2,2,5,"Monolit","Good","1","Center"
"343",65,3,130000,2.8,4,14,"Monolit","Good","2","Center"
"344",90,3,130000,3,2,8,"Monolit","Good","2","Arabkir"
"345",91,3,109000,2.8,7,7,"Monolit","Good","1","Arabkir"
"346",95,3,160000,3,3,4,"Monolit","Good","2","Center"
"347",103,1,1e+05,2.8,5,14,"Monolit","Good","1","Arabkir"
"348",125,3,145000,3,6,18,"Monolit","Good","2","Arabkir"
"349",235,5,650000,3,3,8,"Monolit","Good","3","Center"
"350",191,5,228000,3,7,17,"Monolit","Good","3","Center"
"351",128,3,390000,3,8,8,"Monolit","Good","1","Center"
"352",80,3,133000,2.8,8,14,"Monolit","Good","1","Center"
"353",86,3,130000,2.8,1,9,"Monolit","Good","1","Center"
"354",225,5,550000,3,4,12,"Monolit","Good","2","Center"
"355",140,4,255000,3,2,4,"Monolit","Good","2","Center"
"356",132,3,230000,2.8,3,6,"Monolit","Good","2","Center"
"357",156,4,187000,3,4,6,"Monolit","Good","2","Center"
"358",210,4,4e+05,3,5,8,"Monolit","Good","2","Center"
"359",142,4,285000,3,4,12,"Monolit","Good","2","Center"
"360",170,4,2e+05,3,4,10,"Monolit","Good","2","Center"
"361",67,2,138000,3,4,12,"Monolit","Good","1","Center"
"362",90,3,105000,2.8,9,10,"Monolit","Good","1","Center"
"363",120,4,150000,3,4,5,"Monolit","Good","1","Center"
"364",140,4,220000,3.2,4,4,"Monolit","Good","1","Center"
"365",110,4,195000,3,6,10,"Monolit","Good","2","Center"
"366",87,3,92000,2.8,10,11,"Monolit","Good","1","Center"
"367",80,3,160000,3,2,5,"Monolit","Good","1","Center"
"368",94,2,120000,2.8,10,10,"Monolit","Good","1","Center"
"369",67,2,125000,3,2,6,"Monolit","Good","1","Center"
"370",73,3,90000,2.8,4,4,"Monolit","Good","1","Center"
"371",110,4,3e+05,3.2,1,4,"Monolit","Good","1","Center"
"372",73,3,1e+05,2.8,6,9,"Monolit","Good","1","Center"
"373",90,3,110000,2.8,13,16,"Monolit","Good","1","Center"
"374",60,2,120000,2.8,5,6,"Monolit","Good","1","Center"
"375",170,4,380000,3.2,8,11,"Monolit","Good","4","Center"
"376",64,2,137000,3,5,23,"Monolit","Good","1","Center"
"377",70,3,153000,3,2,3,"Monolit","Good","1","Center"
"378",218,4,410000,3,8,8,"Monolit","Good","3","Center"
"379",90,4,1e+05,2.8,6,7,"Monolit","Good","1","Center"
"380",115,3,170000,2.8,3,5,"Monolit","Good","1","Center"
"381",70,2,105000,2.8,5,5,"Monolit","Good","1","Center"
"382",45,2,110000,3.2,2,5,"Monolit","Good","1","Center"
"383",266,5,326000,3,4,5,"Monolit","Good","2","Center"
"384",202,3,210000,3,1,5,"Monolit","Good","1","Center"
"385",262,4,270000,3,1,5,"Monolit","Good","1","Center"
"386",114,3,155000,2.8,5,16,"Monolit","Good","2","Arabkir"
"387",52,2,110000,3.2,2,5,"Monolit","Good","1","Center"
"388",101,3,210000,3.2,3,5,"Monolit","Good","2","Center"
"389",100,3,105000,3.2,7,9,"Monolit","Good","1","Arabkir"
"390",95,3,210000,3.2,15,15,"Monolit","Good","1","Center"
"391",53,2,125000,3.2,3,5,"Monolit","Good","1","Center"
"392",135,3,340000,3,17,23,"Monolit","Good","2","Center"
"393",85,3,105000,3,5,9,"Monolit","Good","1","Arabkir"
"394",172,4,380000,3.2,13,23,"Monolit","Good","2","Center"
"395",67,3,110000,2.8,3,9,"Monolit","Good","1","Center"
"396",93,2,132000,3,5,6,"Monolit","Good","1","Center"
"397",127,4,380000,3,6,8,"Monolit","Good","2","Center"
"398",85,3,110000,3,1,7,"Monolit","Good","1","Arabkir"
"399",102,4,185000,3.2,4,5,"Monolit","Good","1","Center"
"400",90,3,125000,2.8,5,11,"Monolit","Good","1","Center"
"401",222,5,298500,3.2,17,18,"Monolit","Good","5+","Arabkir"
"402",96,3,135000,2.8,6,12,"Monolit","Good","1","Arabkir"
"403",120,4,150000,2.8,5,5,"Monolit","Good","1","Center"
"404",120,4,120000,3.2,2,5,"Monolit","Good","1","Center"
"405",168,4,170000,3.2,5,5,"Monolit","Good","1","Center"
"406",210,4,310000,3,7,7,"Monolit","Good","2","Center"
"407",210,5,670000,3.2,11,14,"Monolit","Good","3","Center"
"408",148,4,4e+05,2.8,5,11,"Monolit","Good","3","Center"
"409",190,4,380000,2.8,4,5,"Monolit","Good","1","Center"
